,ECR,Player,Tipoff  (ET),Opponent,Today,Yesterday,Difference
78,-,John Wall (WAS - PG) ,7:00PM,@TOR,"$3,000",-,-
79,28,Hassan Whiteside (POR - C) ,9:30PM,@DAL,"$8,400",-,-
80,167,Kelly Olynyk (MIA - C) ,8:00PM,@OKC,"$3,000",-,-
81,266,Mike Muscala (OKC - PF/C) ,8:00PM,MIA,"$4,900",-,-
82,42,CJ McCollum (POR - PG/SG) ,9:30PM,@DAL,"$6,800",-,-
83,51,Robert Covington (MIN - SF/PF) ,7:00PM,@IND,"$5,700",-,-
84,-,Matthew Dellavedova (CLE - PG/SG) ,8:00PM,@MEM,"$3,200",-,-
85,290,Allen Crabbe (MIN - SG/SF) ,7:00PM,@IND,"$3,300",-,-
86,277,Andre Roberson (OKC - SG) ,8:00PM,MIA,"$3,000",-,-
87,210,Meyers Leonard (MIA - PF) ,8:00PM,@OKC,"$3,900",-,-
88,171,Tim Hardaway Jr. (DAL - SG/SF) ,9:30PM,POR,"$5,100",-,-
89,244,T.J. McConnell (IND - PG) ,7:00PM,MIN,"$3,700",-,-
90,262,Dion Waiters (MIA - SG/SF) ,8:00PM,@OKC,"$3,000",-,-
91,98,Dwight Powell (DAL - C) ,9:30PM,POR,"$5,100",-,-
92,124,Jae Crowder (MEM - SF) ,8:00PM,CLE,"$4,600",-,-
93,27,Tobias Harris (PHI - SF/PF) ,7:00PM,CHI,"$8,300",-,-
94,-,Jordan McRae (WAS - PG/SG) ,7:00PM,@TOR,"$6,000",-,-
95,91,Tristan Thompson (CLE - C) ,8:00PM,@MEM,"$6,500",-,-
96,71,Jeremy Lamb (IND - SG) ,7:00PM,MIN,"$4,600",-,-
97,275,Shabazz Napier (MIN - PG) ,7:00PM,@IND,"$5,000",-,-
98,174,Gorgui Dieng (MIN - C) ,7:00PM,@IND,"$5,600",-,-
99,84,Victor Oladipo (IND - PG/SG) ,7:00PM,MIN,"$6,500",-,-
100,227,Boban Marjanovic (DAL - C) ,9:30PM,POR,"$3,000",-,-
101,-,Brandon Knight (CLE - PG/SG) ,8:00PM,@MEM,"$3,300",-,-
102,261,Doug McDermott (IND - SF/PF) ,7:00PM,MIN,"$3,500",-,-
